querulous 抱怨的，发牢骚的
recrudescent 复发
exalt 称赞，赞扬
astute 精明的
brandish 炫耀
stymie 阻碍
subsist 持续生
riot 骚乱，暴动
cumbersome 笨重的复杂难做的
waver 犹豫不决，踌躇
risible 可笑的
convert 使转变
surly 阴郁的
breakthrough 突破
genius 天才天赋
topple 推
fulminate 严厉谴责
bestow 授予
unwieldy 笨重的，难操作的
douse 熄灭
winnow 筛选
hone 磨砺，提升
spearhead 先锋部队
flummox 使困惑
evocative 唤起感情的
generate 产生
venue 地点，场所
panoply 盛况，盛典
illicit 违法的，不正
expendable 可消费的
linger 徘徊，
conservation 保护
backwater 停滞不前的地方或状态
aggravate 加剧
reminiscent 怀旧的，回忆的
waggish 滑稽的，爱
courteous 有礼貌的
ostensible 表面的
sensational 耸人听闻的极好的
immaterial 不重要的
redoubtable 令
fringe 边缘
divided 有分歧的
dated 陈旧的
delineate 描写，描绘
syntax 语法，句法
prose 乏味的，单调的
undue 过度的
beholden 欠人情的
eternal 永恒的
gregarious 爱交际的群居的
worrisome 令人不安的
instigate 开始，发起
rein 统治，控制
ameliorate 改善
forge 锻造伪造
yield 产生屈服
equivalent 相同的，等价的
contingent 取决于
grapple 处理
incongruity 矛盾
grandiloquent 夸大的，夸张的
envision 想象
derision 嘲笑
cloying 令人厌腻的
boo 发出嘘声
off-key 走调的，不和谐的
brag 吹嘘
ensue 随
neutrality 中立
chary 谨慎
furnish 提供，供应
asunder 分离地
evasive 逃避的，闪烁其词的
successive 连续的
detrimental 有害的
coupon 优惠券
conclusive 确凿的
shrill 尖叫
comity 友谊
obstruct 阻挡，妨碍
patronizing 自视高人一等的
piecemeal 零碎的
mediocre 普通的，平凡的
melancholy 忧郁的，令人伤感的
teetotalism 绝对禁酒
glum 阴沉
outnumber 比
disown 否认
acclaim 称赞
obstreperous 吵闹的难驾驭的
germane 密切相关的
charlatan 骗子
easygoing 悠闲的
puerile 愚蠢的，
comprise 包
tenet 原则，信条
mollify 平
dearth 缺乏
inviting 吸
irascible 易怒的
bookish 书呆子气的
demonstrative 流露感情的
lowly 卑微的
chic 时髦的
dispel 消除驱散
alarmist 危言耸听的
leach 过滤
impart 传授，赋予
necessitate 使必
irreparable 不可弥补的
straggle 蔓延，散乱
stern 严厉的，苛刻的
reprisal 报复
churlish 无礼的
beneficiary 受益的人或者事物
barring 除
fascinate 使着迷
exert 运用，施加
setback 阻
morale 士气，斗志
blighted 枯萎的
authoritative 有权威的
verity 真实，真理
perpetrate 犯罪
anthropomorp 拟人论
tranquil 平静的，宁静的
staggering 令人震惊的
pledge 保证，誓言
arguably 可以
overstate 夸大
defend 保护为争辩
solitary 孤独的，单独的
imperative 必要的命令的，势在必行的
denigrate 诋毁，玷污
bizarre 古怪的，奇怪的
wealth 财富大量
involved 复杂
harness 控制，利用
mainstay 支柱，中
endemic 地方性的
impugn 指责
nominal 名义上的
fatuous 愚蠢的，愚昧的
upkeep 保养，维修
accountable 有责任的可解释的
nondescript 无个性的
solace 安慰
juvenile 幼稚的，青少年的
illusory 虚假的
supplicate 恳求
admonish 反对，批评告诫
urbane 儒雅的
degenerative 退化的
susceptible 易受影响的
meditate 考虑，沉思
covert 秘密的
momentous 重要的，重大的
pacific 和平主义
spurious 虚假的
amiss 错误
contiguous 邻近的
calumny 诽谤
maneuver （巧妙或有策略地）操纵
dualism 双重性
obviate 避免，取消
faultless 无可挑剔
impregnable 攻不破的
fervor 热忱
barrier 障碍
shabby 肮脏破旧的
alliance 联盟，联合
unassuming 谦逊的
inchoate 早期的，未充分发展的
seamy 丑恶
agility 敏
detestation 憎恶
keen 渴望的
conversant 熟悉的
impassioned 热情的
veto 否决
venial 轻微的，可原谅的
timorous 胆
intermittent 间歇的，断断续续的
predecessor 前任，前辈
lighthearted 快乐的，心情愉快的
culinary 烹饪的，厨房的
sanity 精神正常通情达理
coincidental 巧合的，碰巧的
deterioration 恶化
sumptuous 豪华的，奢华的
coy 腼腆的
elicit 引
pantheon 名流群
highlight 强调
demarcation 界限
antediluvian 过时的
disinterested 公正的没有兴趣的
idiosyncrasy 特质
becoming 合
enduring 持久的
cantankerous 易怒的
subdue 镇压，制服
celerity 速度，迅速
retain 保持
rectitude 诚实，正
preside 主持
flabby 松弛的，软弱的
circumstantial 依情况而定的
clog 阻塞，阻碍
spike 阻止
disorient 使迷惑，使失去方向
hodgepodge 大杂烩
verge 边缘
implacable 无法安抚的
cowardice 怯懦，胆小
streamline 使精简，使更高效
alien 陌生的外国的
confer 授予，给予协商
bootless 无
straddle 包括，跨越（不同的活动领域、团体、时间等）
shortsighted 目光短
equanimity 镇定
stupefy 使震惊，使惊呆
objective 客观的，公正的
largesse 捐赠
desultory 散漫的，不连贯的
felicitous 恰当的
connoisseur 行家
mastermind 策划者，主谋
overdue 逾期未完成的
esoteric 深奥
heretofore 在此之
sanguine 乐观的
skirt 回避
lurk 潜伏，埋伏
old-fashioned 老式的过时的
categorical 绝对的，坚定的
maze 使混乱，使迷惑迷宫
stringent 严格的，严厉的
noisome 令人讨厌的，恶臭的
inclined 倾向于的
insightful 有洞察力的
groan 抱怨，发牢骚
viable 切实可行的
aspersion 诽谤
woo 恳求，争取
coin 发明
tolerate 容许容忍
eccentric 古怪的，反常的
fallacious 谬
immolate 牺牲，
rebut 反
jeopardize 危害
rive 破裂
circumscribe 限制
consistent 始终如一的
divest 剥夺
asset 有价值的人或事
vitriolic 尖酸刻
taxing 费劲的
indifferent 冷漠的公正的
condign 适当的
spunk 勇气，胆量
decouple 使没有联系
affluent 丰
vanish 消失
loquacious 健谈的
wield 行使，施加
sagacious 睿智的
apposite 合适的
callous 冷酷无情的
flexibility 灵活性，适应性
antiquated 陈旧的，古老的
vengeful 复仇
herald 预示称赞
embellish 装饰
stifle 阻止
deadlock 僵局
mimetic 模仿的
univocal 意义明确
ratify 批准，认可
ape （笨拙地）模仿
absorbing 吸引人的
anthology 选集
avow 承认
gall 使生气
debase 贬低
wherewithal 必要手段（钱或技能）
debilitate 使削弱，使衰落
dilatory 拖延的
excoriate 严
judicious 审慎的
far-reaching 影响深远的
trajectory 轨道
grudge 不愿意做
ordain 规定，颁布命令
maudlin 多愁善感的
stagnate 停滞
meticulous 周密的，一丝不苟的
infamy 恶性，臭名昭著
jaded 疲
immutable 不可改变的
varnish 装饰
anchor 固定
relish 享受
skeptical 怀疑的
malleable 可塑的，易变的
underrate 低估
tantamount 等同于
acrimony 尖酸刻薄
idealistic 空想的
hatred 憎恨，仇恨
obstinate 固执的，顽强的
pretentious 自以为是的
shallow 肤浅的
enamor 使迷恋
tenacity 顽强
antiquarian 古文物研究的
delegate 委托
layperson 门
intricate 错综
founder 失败创建人
plight 困境
figment 虚构的事
epilogue 结语，尾声
amiable 和蔼可亲的
gargantuan 巨大的，庞大的
solidarity 团结
genuine 真实的，真正的
unilateral 单
dull 乏味的
vintage 上等的，优质的
multifarious 多种多样的
aggrieve 使痛苦
raillery 开玩笑
confused 迷惑的
stability 稳定
draw 吸引
hedonism 享乐主义
hamper 阻碍
fester 恶化
ailment 小病
homogeneity 同质
stipulate 规定
gleam 闪光，闪烁
pedantic 迂腐的，学究式的
insouciance 无忧无虑，漫不经心
byzantine 错综
trait 特
eye-catching 引人注
recruit 招聘，吸收
mesmerize 迷住
wholesome 有益健康的
monger 追求的人，推动者
credulous 轻信的
acolyte 助手，追随者
subsidize 资助，补贴
equivocal 模棱两可的
square 与
understate 轻描淡写地说
husband 节约地使用或管理
vitiate 损害
resurgent 复兴的
ancillary 辅助的
fickle 善变的
benevolent 仁慈的
cerebral 大脑的理性的
acquisitive 贪得无厌的
invention 虚构
compliant 顺从的
commandeer 征用，强占
advocate 拥护者支持
perplex 迷
sublime 卓越的，超群的
novice 新手
ferocious 残忍的
predilection 偏爱
conscientious 认真的
malfeasance 渎职
incur 引起，招致
aghast 惊
locale 场所
irenic 和平主义的
atheism 无神论
reconciliation 和解
staple 常用的
entice 怂恿，诱使
salvation 拯救，救助
blatant 公然的
indigent 贫穷的
adamant 固执的
vestige 残留部分
bromide 陈词滥调
embryonic 萌芽期的
gullible 易受骗的，轻信的
decelerate 减
tepid 不够热情的
row 争吵
aphorism 名言，警句
bent 倾向，嗜好
simmer 内
parse 解析，
extant 现存的
discard 丢弃
imperial 帝国的，皇家的
debacle 彻底失败
decline 衰落拒绝
parody 拙劣的模仿
perennial 持久的
forebear 祖先
palatable 美味的
exaggerate 夸大
dilemma 困境
amalgam 混合物
spacious 宽敞的，广阔的
dissemble 伪装
galvanize 激励
interdependent 相互依赖的
impose 强加
veracity 真实
enchanting 迷人的
far-fetched 牵强附会的
pathetic 可怜的
outlandish 古怪的
infallibility 无过失
offish 冷漠的
distill 蒸馏，提取
patent 专利显而易见的
agglomerate 聚集
free-for-all 自由放任的
uninformative 缺乏信息的
decrepitude 衰老，老朽
flush 激动
wholesale 批发的，大规模的
lionize 崇拜，把视为名人
mediate 调
repugnant 令人厌恶的，使人反感的
uncanny 神秘
accentuate 强调
cajole 哄骗
impassive 冷
shoddy 粗
imperious 专横的
rile 激怒
impending 即
heyday 全盛期
teem 充满
gaiety 高
overthrow 推翻，废除
knotty 复杂的，棘手的
cower 畏缩
irresistible 不可抵抗的
stigma 耻辱，羞耻
resuscitate 复兴，恢复
scant 缺乏的
bolster 支持
pernicious 有害的，恶性的
gauge 估计，判断衡量仪器
bridle 抑制
primacy 卓
allure 引诱魅力
euphony 悦耳的声音
hibernate 冬眠
recoil 畏缩，后退
inflammatory 煽动性的
hoodwink 欺骗
trickster 骗子
irresolution 犹豫不决
check 阻止
banish 驱逐
extrovert 外向的人
posthumous 死后的
expostulate 劝诫，反对
overarching 首要的，包罗万象的
divulge 泄露，暴
perceptible 可见的，可觉察的
attain 实现
gridlock 僵局
old-timer 老前辈
reprehensible 应受谴责的
reproach 责备
moderate 变缓和，变弱温和的，适度的
laity 门外汉
spongy 松软多孔的，海绵状的
accost 不怀好意地搭讪
proclaim 宣布表明
perishable 易腐败的，易毁灭的
cosset 溺爱
synchronous 同步的，同时的
laborious 勤劳的
blemish 玷污污点，缺点
congregate 聚集
panache 炫耀，耍派头
damp 使减弱
slapdash 草率
yearn 渴望，向往
aristocracy 贵族统治，精英统治
stonewall 妨碍，阻碍
bucolic 乡村的
collide 碰撞
deify 神化
hereabouts 在附近
adjudicate 裁定
fraught 忧虑的充满的
catalyst 催化剂，刺激因素
watershed 分水岭，转折点
penchant 倾向，嗜好
recast 改写
fervent 热情的，热烈的
heterodox 异端的
rebound 反弹，回升
etch 鲜明地描述，铭记
persona 人物，角色
sterling 优秀的
canard 谣言
serene 平静的，安详的
breathtaking 令人激动
articulate 清晰表达善表达的
anthropology 人类学
fiery 热烈的暴躁的
dainty 讲究的，秀丽的
daunting 使人畏惧的
laconic 简洁的
abbreviate 缩短
digress 离题，转移话题
bighearted 慷
shriek 尖叫
wobble 摇晃，摇
hoax 欺骗
enthrall 使着迷
murky 黑暗的，朦胧的
contravene 触犯
reckless 轻率的，鲁莽的
diminish 减少贬低
corporeal 肉体的，物质的
apex 最高点
emollient 安慰性的，使缓和的
flighty 善变的
denizen 居民，栖息者
acoustic 声音的，听觉的
prophylactic 预防的
misuse 误用
relief 解脱
divorced 分离的
acute 敏锐的严峻的
squander 浪费
evenhanded 公平的
fawn 奉承
synthesis 合成，综合体
demise 终止，死亡
ludicrous 荒唐可笑的
meet 合适的
renewal 恢复，重新开始
counterproduc 事与愿违的
tarnish 玷污
safeguard 保
descendant 后裔，子孙
rue 后悔
salient 显著的，重要的
general 普遍的笼统的
uncompromisi 不妥协的
speculation 推测
flit 轻快地飞过
haunt 经常出没闹鬼
nonentity 无足轻重的人
boisterous 喧闹的
decipher 解释
manifest 明显的清楚显示
prevail 流行占优势
greed 贪婪，贪心
unnerve 使失去勇气，使疲倦
salubrious 有益健康的
transgress 违反，侵犯
paramount 最
disengage 脱离
abiding 持久的
detached 公正客观的
edify 启发，教诲
stale 陈旧的，厌倦的
censure 谴
mute 缄默的
counterintuitiv 违反直觉的
usage 对待方
abyss 深渊，危险的处境
spare 多余的，空闲的
belligerent 好战的
herbivorous 食草
astounding 令人震惊的
legitimate 合法的
bypass 避开
incivility 无礼
predicate 断定，断
annul 废除，终止
hearten 激
foible 小缺点
inaugurate 正式就任开创，开辟
downsize 减少规
politic 精明的，有策略的
petrify 使惊呆
declamatory 慷慨激昂的
kinetic 运
untenable 站不住脚的
lambaste 严
fixated 过分迷恋的
frivolous 不重要的不严肃的
perilous 危险的
orientation 目标，态度
isolationism 孤立主义
fell 凶
megalomania 自大狂
rambling 杂乱无章的
pedagogical 教育学的
monogamy 一夫一妻制
lopsided 倾向
falter 衰退，变弱犹豫，畏缩
chaotic 混乱的
neophyte 新手
inception 开始
placid 平静的，温和的
plunge 骤降，猛跌
cornerstone 基石
monarchy 君主制
cater 迎合
novel 新颖的
impartial 公正的
feat 功绩，壮举
misanthrope 愤世嫉俗者
fortuitous 偶然的
panacea 万能药
ebullient 热情洋溢的
waffle 闲
pressing 紧迫
wondrous 奇妙的
decode 解密，解读
anneal 加
practitioner 从业者
augment 增加
inclusive 全包括的包括首尾两项的
peccadillo 小错误，
conspire 共谋，协力
blunt 钝的直言不讳的
valiant 英勇的，勇敢的
hoary 古老的，
vaporize 蒸发消散
clique 小集团，小圈子
instinct 本能
jargon 行话，术语
activism 行动主义
superlative 最
tyro 新手
deter 阻止威慑
refuge 避难所
itinerant 流动的，巡回的
scribble 乱写
garrulous 喋喋
fusty 霉臭的守旧的
balloon 激增
economic 有利可图的
jealous 嫉妒的
acidic 酸性的
cupidity 贪婪
factious 宗派的，派系的
strait 困境
officious 爱管闲事的
supercilious 傲慢的
recollect 回忆
mishap 小事故，小错误
disinformation 虚假信息
marked 显著的
putative 公认的推定的
resurface 重新露面
pagan 异教徒
extenuate 减轻，减弱
animadversion 批评
scrutinize 仔细检查
apogee 顶点，最高点
impecunious 贫穷的
spectacular 壮观的
indolent 懒惰的
chimera 幻想
goosebumps 鸡皮疙瘩
predetermine 预先确定
perfidious 背信弃义的
renounce 宣布放弃
opaque 不透明的难懂的
terminology 术语，专门用语
mimic 模仿和相似
versatile 多才多艺的多功能的
bore 使烦扰
proliferate 激增
exiguous 稀少
sobering 严肃的
acumen 敏锐
paragon 杰出典范
assail 批评，攻击
colloquial 口头的
adjourn 延期
rail 抱怨，责骂
plebeian 普通的，粗俗的
hardliner 强硬分子
oblique 斜的
excavate 挖掘，开凿
pertinacious 顽
proscribe 禁止
guzzle 暴饮暴食
tackle 处理，对付
ingenuous 天真的真诚的
assemble 集合组装
displace 取代迫使离开
interchangeabl 可交换的
hubris 傲慢自大
discomfit 使难堪
clandestine 秘密的
maverick 特立独行的人
indispensable 不可或缺的
forebode 预示，预兆
reflective 沉思的
rehash 老调重弹，炒冷饭
clot 凝结
indiscernible 难以理解的
curtail 缩减
roil 激荡，扰乱
decorous 有礼节的
anodyne 不遭人烦的止痛的
replete 充满的
compendium 纲要，概略
misrepresent 歪曲
decisive 果断的毋庸置疑的
given 特定
backbone 支柱，支撑
seemly 适当的，得体的
circumspect 谨慎的
hideous 丑陋的
opportune 适时的
glut 过
belabor 过分强调抨击
slump 下降，衰落
elemental 基本的
aboriginal 土著的，原始的
evacuate 撤离，撤出
hasten 加速，加紧
contain 限制
ascendant 占主导的上升的
prowess 英勇超凡技术
spew 喷出，涌出
synonymous 同义的
obsequious 谄媚的
tinker 修补
peremptory 专横的，霸道的
boor 粗鲁的人
beset 困扰
remuneration 酬劳
whereabouts 所在之处
assuming 傲慢的
tenable 站得住脚的
pathogen 病原体，病菌
demoralize 使堕落，使士气低落
insinuate 暗示
glossy 有光泽的
spur 激励
siphon 私自抽取，挪用
insatiable 不
premeditate 预先考虑
akin 相似的，相关的
cement 巩固，加强
reserved 保守的，话少的预留的
crave 极度渴望
amicable 友善的
jibe 嘲笑与一致
prioritize 优先考虑
stickler 顽固的人
sensuous 感官的，愉悦感官的
relinquish 放弃
erudite 博学的
presumptuous 放肆的，冒昧的
schism 分裂
retrieve 取回，
humor 纵容
hectic 忙碌的
corollary 推论，结果
leaven 使有趣，使生动
cacophony 刺耳的声音
disparate 不同的
impressive 令人敬畏的，值得尊敬的
lenient 仁慈的，宽大的
inaccessible 难以到达的，难以理解的
supplant 取代
contour 轮廓
inexorable 不可阻挡的
secular 世俗的
hard-nosed 顽强的，不屈不挠的
confine 限制
muddle 使混乱混乱
snag 障碍
conceivable 可想象的
defy 蔑视
dilettante 肤浅的涉猎者
finesse 策略，手段
feasible 可行的
cataclysm 灾难
visible 看得见的明显的
incipient 早期的，初期的
snapshot 快照，简要描述
lavish 浪费的
exorbitant 过高的
enormous 巨大的
introspect 反省，内省
disproportiona 不成比例的
ad 临时的特别的
peripatetic 巡
hyperbole 夸大
ominous 不祥的
exhilarate 使兴奋
foreground 使重要，使显眼重要位置
plead 恳求，祈求
eviscerate 去除精华
discrete 分离的
catchy 引人注意的使人上当的
erode 腐蚀
sway 摇摆影响
temptation 引诱，诱惑
caustic 苛刻的，刻薄的
presage 预
congruent 一致的
fierce 凶猛的，猛烈的
slur 贬低使模糊
tease 取笑，戏
halfhearted 不热情的
heterogeneous 各种各样的
oppressive 残酷的令人窒息的
contemplate 深入思考
indulgent 放纵的
relic 遗迹
gloat 幸灾乐祸
verifiable 可证
equilibrium 均衡，平衡
egalitarian 平等主义的
droll 滑稽的
profusion 大量
mundane 平凡的，乏味的世俗的
unfathomable 不可理解的
crab 抱怨
circuitous 拐弯抹角的
endanger 使遭到危险
cagey 小心的，谨慎的狡猾的，机敏的
collude 串通
thrust 主旨猛推，挤
cachet 威望
cow 恐吓
encyclopedic 广博的，全面的
empower 授权
austere 朴素的
disingenuous 不真诚的
preoccupy 使全神贯注
nebulous 模糊的
rapprochemen 和解
monstrous 巨大的可怕的
liable 有
retroactive 追溯的
plunder 抢夺
sap 削弱，消耗
generic 通用的
asperity 严厉，粗暴
bountiful 丰富的
fractious 易怒的难对付的
crass 愚钝的
standstill 静止
beget 导致，产生
epidemic 流行的
intelligible 可理解的
palliate 减轻辩解
vicissitude 变
impunity 免受惩罚
haughty 傲慢的，自大的
germinate 使发芽，使生长
unruffled 平静的，镇定的
cordial 友善的
histrionic 戏剧化的，夸张的
listless 倦怠的，无精打采的
contented 满
well-defined 明确的
genealogy 家谱，宗谱
spate 大量
revolt 反抗
inoculate 灌输
exempt 免除
avid 极其渴望的，贪婪的
wily 狡猾的，诡计多
egregious 臭名昭著的
tremendous 巨大
salacious 淫秽的，猥亵的
